,FIT_400_001A_P.PV,FIT_400_002A_P.PV,Q_400_001A_P.PV,PT_200A_Tags.Q_RO_Feed_PV
838,0.44,0.33,0.0,
839,0.44,0.43,0.0,
840,0.44,0.33,0.0,
841,0.44,0.25,0.0,
842,0.44,0.33,0.0,
843,0.45,0.32,0.0,
844,0.43,0.36,0.0,
845,0.44,0.35,0.0,
846,0.44,0.33,0.0,
847,0.43,0.31,0.0,
848,0.43,0.35,0.0,
849,0.44,0.34,0.0,
850,0.45,0.3,0.0,
851,0.47,0.33,0.0,
852,0.45,0.28,0.0,
853,0.46,0.32,0.0,
854,0.45,0.29,0.0,
855,0.45,0.34,0.0,
856,0.43,0.27,0.0,
857,0.45,0.31,0.0,
858,0.44,0.33,0.0,
859,0.47,0.29,0.0,
860,0.42,0.33,0.0,
861,0.44,0.31,0.0,
862,0.44,0.36,0.0,
863,0.45,0.31,0.0,
864,0.45,0.35,0.0,
865,0.45,0.33,0.0,
866,0.45,0.33,0.0,
867,0.43,0.36,0.0,
868,0.46,0.36,0.0,
869,0.45,0.36,0.0,
870,0.46,0.4,0.0,
871,0.46,0.32,0.0,
872,0.46,0.41,0.0,
873,0.44,0.3,0.0,
874,0.44,0.36,0.0,
875,0.45,0.32,0.0,
876,0.45,0.3,0.0,
877,0.46,0.3,0.0,
878,0.45,0.31,0.0,
879,0.44,0.3,0.0,
880,0.44,0.31,0.0,
881,0.44,0.28,0.0,
882,0.46,0.33,0.0,
883,0.46,0.35,0.0,
884,0.44,0.35,0.0,
885,0.43,0.3,0.0,
886,0.45,0.3,0.0,
887,0.46,0.33,0.0,
888,0.43,0.38,0.0,
889,0.44,0.35,0.0,
890,0.43,0.24,0.0,
891,0.42,0.4,0.0,
892,0.46,0.3,0.0,
893,0.45,0.33,0.0,
894,0.45,0.33,0.0,
895,0.44,0.3,0.0,
896,0.44,0.36,0.0,
897,0.44,0.35,0.0,
898,0.44,0.36,0.0,
899,0.44,0.32,0.0,
900,0.44,0.31,0.0,
901,0.44,0.33,0.0,
902,0.45,0.34,0.0,
903,0.44,0.36,0.0,
904,0.44,0.36,0.0,
905,0.45,0.36,0.0,
906,0.44,0.38,0.0,
907,0.44,0.39,0.0,
908,0.45,0.32,0.0,
909,0.46,0.33,0.0,
910,0.45,0.3,0.0,
911,0.45,0.31,0.0,
912,0.46,0.36,0.0,
913,0.46,0.32,0.0,
914,0.46,0.34,0.0,
