,FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV,"SUM(A, B, C)"
310,4896.83,2108.3,2657.65,2418.24
311,4533.74,2099.2,2665.23,2411.48
312,4724.79,2107.26,2716.13,2415.02
313,4751.12,2108.47,2659.15,2416.07
314,4501.16,2102.63,2616.41,2416.42
315,4567.84,2104.61,2705.82,2408.7200000000003
316,4893.32,2109.67,2612.66,2417.62
317,4481.54,2108.19,2577.73,2412.0
318,4538.68,2111.11,2542.87,2417.63
319,4859.8,2106.61,2565.94,2415.05
320,4967.63,2117.0,2906.59,2411.21
321,4772.07,2117.16,2670.05,2417.6
322,4678.7,2111.16,2556.51,2416.17
323,4739.79,2113.89,2554.67,2418.78
324,5148.56,2111.1,2908.01,2414.76
325,4680.79,2109.94,2588.98,2412.88
326,4706.6,2117.97,2546.91,2415.99
327,4637.97,2110.82,2666.04,2417.25
328,5001.18,2105.41,2579.06,2416.77
329,5190.37,2110.53,3196.93,2408.32
330,5031.46,2104.69,2737.71,2415.8900000000003
331,4698.65,2099.16,2615.75,2416.19
332,4571.86,2103.41,2531.69,2415.71
333,4680.94,2104.62,2642.34,2412.61
334,4724.77,2098.66,2602.35,2419.96
335,5089.6,2103.47,2698.0,2414.16
336,5154.32,2103.06,3088.72,2414.5299999999997
337,4688.07,2097.85,2564.42,2416.34
338,4743.82,2104.9,2605.7,2412.25
339,4554.2,2106.43,2621.56,2416.23
340,4704.22,2104.11,2628.48,2417.3
341,4677.73,2106.66,2536.55,2416.31
342,5103.86,2102.26,2785.45,2409.97
343,5309.41,2114.7,3218.38,2420.8
344,4607.13,2118.82,2548.71,2410.3
345,4648.14,2106.27,2647.06,2418.33
346,4731.61,2113.98,2513.82,2418.82
347,4674.51,2116.53,2684.77,2413.32
348,4485.07,2110.1,2544.6,2417.61
349,5170.42,2113.44,2684.26,2419.67
350,5208.59,2121.44,3097.22,2412.84
351,4853.55,2108.77,2484.95,2416.5
352,4548.19,2111.79,2699.04,2413.29
353,4592.53,2114.31,2570.86,2417.67
354,4697.83,2110.62,2643.17,2416.9700000000003
355,4671.29,2108.56,2412.92,2417.59
356,4615.6,2106.2,2537.55,2418.1099999999997
357,4951.08,2107.39,2662.7,2413.69
358,5323.36,2099.06,3347.23,2411.71
359,4947.98,2104.94,2534.63,2413.19
360,4528.13,2104.42,2518.71,2419.11
361,4516.88,2098.73,2626.76,2415.71
362,4872.38,2100.84,2606.1,2420.77
363,4553.65,2105.94,2687.12,2415.55
364,4510.35,2100.95,2564.65,2416.39
365,4751.9,2098.75,2511.9,2409.85
366,4728.49,2110.41,2481.8,2414.8900000000003
367,4533.23,2101.76,2534.23,2412.73
368,4600.82,2105.18,2462.33,2415.95
369,4983.84,2113.39,2556.62,2415.19
370,4696.78,2107.37,2907.8,2412.38
371,4971.71,2109.43,2588.77,2415.92
372,4634.91,2117.88,2629.85,2413.5
373,4838.28,2111.08,2787.61,2412.34
374,4834.69,2117.48,2564.69,2416.46
375,4613.25,2116.94,2477.43,2413.13
376,4497.58,2112.32,2510.28,2412.79
377,4742.52,2119.13,2522.07,2420.6499999999996
378,4666.12,2109.57,2544.89,2414.18
379,4607.68,2111.44,2571.81,2416.44
380,4552.83,2115.98,2590.07,2415.8599999999997
381,4864.73,2102.23,2532.94,2418.9700000000003
382,4477.55,2105.05,2555.32,2414.72
383,4601.25,2102.6,2645.94,2415.76
384,4765.32,2102.62,2527.31,2416.42
385,4578.01,2110.47,2523.04,2413.2799999999997
386,3712.45,842.1,3518.21,2305.7200000000003
387,677.54,2104.615,998.91,2415.1800000000003
388,4717.27,2104.615,2618.2749999999996,2415.1800000000003
389,4717.27,2104.615,2618.2749999999996,2415.1800000000003
390,4717.27,2104.615,2618.2749999999996,2415.1800000000003
391,4717.27,2104.615,2618.2749999999996,2415.1800000000003
392,4717.27,2104.615,2618.2749999999996,2415.1800000000003
393,4717.27,2104.615,2618.2749999999996,2415.1800000000003
394,4717.27,2104.615,2618.2749999999996,2415.1800000000003
395,4717.27,2104.615,2618.2749999999996,2415.1800000000003
396,4717.27,2104.615,2618.2749999999996,2415.1800000000003
397,4717.27,2104.615,2618.2749999999996,2415.1800000000003
398,4717.27,2104.615,2618.2749999999996,2415.1800000000003
399,4717.27,2104.615,2618.2749999999996,2415.1800000000003
400,4717.27,2104.615,2618.2749999999996,2415.1800000000003
401,2877.66,2104.615,2117.98,1640.08
402,4110.72,2104.615,3613.79,2399.56
403,4432.64,2104.615,4312.79,2417.89
404,5029.37,2104.615,4649.12,2423.82
405,4589.63,2104.615,4599.04,2413.7
406,4629.9,2104.615,4771.31,2419.68
407,4634.65,2104.615,4657.03,2416.0699999999997
408,4959.67,2104.615,4777.39,2414.17
409,4965.06,2104.615,4856.18,2414.77
410,4882.93,2104.615,4872.41,2414.54
411,4676.62,2104.615,4806.76,2415.0299999999997
412,4888.72,2104.615,4803.24,2414.87
413,4870.81,2104.615,4825.88,2416.96
414,4378.14,2104.615,4778.56,2416.62
415,4826.51,2104.615,4538.4,2421.3999999999996
416,4706.34,2104.615,4611.91,2416.95
417,4681.83,2104.615,4817.1,2415.37
418,5491.41,2104.615,5234.47,2408.23
419,4879.26,2104.615,5174.23,2420.3
420,4582.53,2104.615,4831.71,2416.2200000000003
421,4652.86,2104.615,4664.04,2417.77
422,4729.43,2104.615,4670.17,2416.54
423,4507.5,2104.615,4659.02,2420.97
424,4846.09,2104.615,4620.9,2416.6600000000003
425,5430.31,2104.615,4829.96,2411.8
426,4723.85,2104.615,5001.28,2416.0
427,4721.15,2104.615,4748.42,2418.7400000000002
428,4683.13,2104.615,4656.95,2418.31
429,4673.85,2104.615,4742.84,2414.6400000000003
430,5076.91,2104.615,4677.38,2417.69
431,5384.15,2104.615,5183.18,2413.12
432,4516.11,2104.615,4825.3,2415.28
433,4738.61,2104.615,4687.78,2419.48
434,4751.96,2104.615,4673.79,2414.17
435,4540.33,2104.615,4558.87,2421.65
436,4749.26,2104.615,4664.66,2415.17
437,5504.02,2104.615,4966.96,2411.64
438,4819.52,2104.615,4938.85,2420.42
439,4566.37,2104.615,4673.56,2418.78
440,4763.8,2104.615,4680.23,2419.8
441,5044.09,2104.615,4802.92,2415.37
442,5211.42,2104.615,5125.8,2413.37
443,4867.05,2104.615,4273.59,2420.02
444,4613.47,2104.615,4798.52,2416.56
445,4611.61,2104.615,4640.15,2417.46
446,4726.52,2104.615,4519.04,2419.03
447,4649.88,1139.74,3615.88,2420.07
448,4611.2,2089.15,2453.98,2418.27
449,4008.87,301.26,3839.67,2386.63
450,3467.53,2104.615,3799.38,2415.1800000000003
451,3531.21,2104.615,3985.92,2415.1800000000003
452,3546.83,2104.615,4136.35,2415.1800000000003
453,3544.42,2104.615,4190.66,2415.1800000000003
454,3541.65,2104.615,4278.41,2415.1800000000003
455,3542.46,2104.615,4134.17,2415.1800000000003
456,3548.79,2104.615,4173.99,2415.1800000000003
457,3555.53,2104.615,4290.99,2415.1800000000003
458,3218.12,2104.615,4404.83,2415.1800000000003
459,2916.85,2104.615,3269.57,2415.1800000000003
460,3464.23,2104.615,4513.73,2415.1800000000003
461,3440.24,2104.615,4854.1,2415.1800000000003
462,3435.35,2104.615,4778.67,2415.1800000000003
463,3435.27,2104.615,8402.61,2415.1800000000003
464,3444.35,2104.615,16417.1,2415.1800000000003
465,3457.61,2104.615,17999.9,2415.1800000000003
466,3454.5,2104.615,7732.1,2415.1800000000003
467,3502.55,2104.615,3470.0,2415.1800000000003
468,3545.97,2104.615,3470.0,2415.1800000000003
469,3545.61,2104.615,3470.0,2415.1800000000003
470,3539.66,2104.615,3470.0,2415.1800000000003
471,3552.5,2104.615,3470.0,2415.1800000000003
472,3548.05,2104.615,3470.0,2415.1800000000003
473,3531.62,2104.615,3470.0,2415.1800000000003
474,3513.64,2104.615,3470.0,2415.1800000000003
475,3487.42,2104.615,3470.0,2415.1800000000003
476,3369.01,2104.615,3470.0,2415.1800000000003
477,3365.83,2104.615,3470.0,2415.1800000000003
478,3253.75,2104.615,3470.0,2415.1800000000003
479,3235.43,2104.615,3470.0,2415.1800000000003
480,3208.53,2104.615,3470.0,2415.1800000000003
481,2492.06,2104.615,3470.0,2415.1800000000003
482,2180.58,2104.615,3470.0,2415.1800000000003
483,3259.05,2104.615,3470.0,2415.1800000000003
484,3823.64,2104.615,3470.0,2415.1800000000003
485,3647.92,2104.615,3470.0,2415.1800000000003
486,2890.78,2104.615,3470.0,2415.1800000000003
487,3142.06,2104.615,3470.0,2415.1800000000003
488,3121.49,2104.615,3470.0,2415.1800000000003
489,3120.97,2104.615,3470.0,2415.1800000000003
490,3388.04,2104.615,3470.0,2415.1800000000003
491,3488.1,2104.615,3470.0,2415.1800000000003
492,3254.41,2104.615,3470.0,2415.1800000000003
493,3889.6,2104.615,3470.0,2415.1800000000003
494,3737.25,2104.615,3470.0,2415.1800000000003
495,3872.41,2104.615,3470.0,2415.1800000000003
496,3944.1,2104.615,3470.0,2415.1800000000003
497,4031.4,2104.615,3470.0,2426.0199999999995
498,3914.36,2104.615,3470.0,2349.6800000000003
499,3731.8,2104.615,3470.0,1757.6600000000003
500,3808.03,2104.615,3470.0,2421.79
501,3966.22,2104.615,3470.0,2356.08
502,3786.33,2104.615,3470.0,2414.23
503,4443.34,2104.615,3470.0,2417.84
504,4275.63,2104.615,3470.0,2416.5
505,4173.16,2104.615,3470.0,2417.21
506,4482.66,2104.615,5638.48,2418.05
507,4446.45,2104.615,4540.38,2418.91
508,4201.8,1095.65,3559.26,2416.48
509,4361.45,1219.94,3033.43,2414.26
510,4293.05,2104.615,3837.97,2403.65
511,4085.99,2104.615,4052.29,2384.6800000000003
512,3691.57,2104.615,3617.42,2414.98
513,3900.36,2104.615,3725.84,2414.2599999999998
514,3770.54,909.57,3120.61,2417.8900000000003
515,3914.21,2104.615,3630.5,2415.6800000000003
516,3855.84,2104.615,3705.03,2416.0
517,3850.5,2104.615,3926.07,2413.04
518,4019.62,718.47,3575.93,2421.4
519,3953.62,1275.38,2597.92,2414.69
520,3874.35,1353.19,2622.76,2415.1
521,4001.2,1414.09,2564.79,2414.19
522,3959.44,1421.19,2523.34,2417.87
523,3869.38,1409.07,2424.24,2417.23
524,4676.65,1416.61,2991.25,2414.11
525,4747.56,1541.21,2924.56,2403.45
526,4888.05,2105.85,3085.65,2420.0099999999998
527,4996.8,2121.02,2900.76,2421.3900000000003
528,4926.22,2102.53,2644.43,2415.57
529,4522.37,2107.67,2634.64,2410.12
530,5003.05,2107.66,2850.41,2414.05
531,4690.96,2097.08,2546.76,2412.88
532,4782.13,2107.19,2692.33,2413.48
533,5016.33,2103.42,2751.97,2421.48
534,4783.45,2099.17,2593.87,2415.7799999999997
535,4750.82,2108.8,2700.75,2416.54
536,4729.65,2098.52,2542.37,2417.79
537,4595.27,2095.67,2607.28,2415.02
538,4498.34,2105.64,2393.2,2419.49
539,4854.6,2101.34,2564.47,2415.05
540,4671.29,2101.4,2580.47,2412.46
541,4941.56,2110.69,2782.7,2408.51
542,5099.51,2099.53,3006.97,2415.67
543,4804.87,2110.14,2565.41,2416.55
544,4481.26,2114.08,2620.9,2415.74
545,4962.06,2104.17,2611.43,2417.9300000000003
546,4942.95,2118.92,3008.65,2411.75
547,4683.12,2115.77,2765.78,2414.9700000000003
548,4986.08,2111.94,2694.38,2418.2700000000004
549,5106.0,2117.57,2660.92,2415.6099999999997
550,4643.11,2111.83,2795.97,2415.51
551,4705.1,2116.08,2471.67,2416.05
552,4798.13,2116.48,2565.23,2418.31
553,4482.17,2112.84,2605.92,2413.1499999999996
554,4635.46,2118.3,2469.7,2417.3199999999997
555,4778.38,2112.68,2494.8,2416.1099999999997
556,4557.58,2104.76,2466.97,2410.67
557,4518.78,2107.44,2489.53,2415.53
558,4889.92,2108.91,2506.21,2418.21
559,4477.72,2102.11,2531.41,2412.62
560,4930.01,2103.61,2657.64,2412.49
561,5154.7,2104.45,2909.44,2415.93
562,4565.99,2099.6,2645.52,2411.21
563,4662.29,2101.19,2495.82,2418.36
564,4684.95,2103.83,2511.04,2413.33
565,4681.03,2100.71,2410.52,2420.3900000000003
566,4524.5,2106.67,2499.58,2417.33
567,4717.91,2096.84,2490.84,2415.94
568,4741.77,2103.38,2447.99,2414.61
569,4415.65,2106.54,2456.21,2409.44
570,4810.86,2109.89,2513.31,2416.62
571,4671.04,2112.62,2442.99,2413.69
572,4486.23,2116.35,2452.76,2411.6899999999996
573,4723.55,2115.06,2507.94,2417.41
574,4736.32,2112.15,2516.09,2413.9300000000003
575,4507.66,2121.13,2465.15,2411.63
576,4604.58,2112.52,2527.36,2416.73
577,4991.44,2113.21,2565.01,2418.9
578,5068.07,2115.65,3114.47,2414.47
579,4687.59,2111.5,2528.28,2421.93
580,4726.27,2117.3,2525.5,2415.62
581,4671.27,2110.44,2600.47,2411.6
582,5289.24,2109.3,2869.62,2412.3599999999997
583,4947.11,2108.68,2845.85,2416.55
584,4616.82,2105.22,2642.38,2412.21
585,5146.0,2107.7,2802.24,2416.12
586,4994.79,2099.42,2727.52,2417.08
