,FIT_400_001C_P.PV,FIT_400_002C_P.PV,Q_400_001C_P.PV
526,808.37,700.34,805.37
527,806.34,699.81,805.58
528,804.18,699.67,805.01
529,802.84,699.92,805.59
530,805.98,699.98,805.3
531,805.96,700.23,805.31
532,806.28,700.15,805.34
533,805.71,700.01,804.96
534,805.99,700.1,805.34
535,805.49,699.58,805.86
536,806.47,700.2,805.22
537,803.57,699.79,805.37
538,807.31,700.32,805.65
539,804.24,699.99,805.49
540,804.49,699.66,805.37
541,804.99,700.35,805.04
542,806.89,699.46,805.25
543,804.99,699.75,805.19
544,805.33,699.97,805.53
545,805.07,699.77,805.63
546,806.93,700.04,805.49
547,803.57,699.48,805.6
548,808.2,700.65,805.52
549,805.05,699.83,805.57
550,804.58,699.97,805.58
551,805.09,699.67,805.03
552,806.66,700.36,805.69
553,804.7,699.78,804.99
554,805.81,700.0,805.22
555,805.24,700.1,805.22
556,803.07,699.79,805.04
557,804.17,699.74,805.78
558,806.16,700.61,805.78
559,803.82,699.97,805.55
560,806.06,700.23,805.1
561,805.42,700.59,805.26
562,803.3,699.9,805.49
563,807.16,699.8,804.97
564,804.17,700.23,804.95
565,804.22,699.94,805.54
566,804.8,699.85,804.95
567,806.21,700.23,805.16
568,803.45,699.77,805.35
569,804.02,699.65,805.52
570,806.23,699.83,805.4
571,804.25,700.01,805.64
572,804.05,700.11,805.51
573,807.02,700.03,805.06
574,802.71,699.75,805.91
575,804.61,700.01,805.24
576,806.24,699.95,805.44
577,804.11,700.12,804.95
578,803.6,699.98,805.58
579,807.04,699.89,805.2
580,804.75,700.39,805.72
581,802.77,699.38,805.46
582,804.26,700.18,805.21
583,807.2,699.58,805.28
584,805.12,699.82,804.74
585,807.42,699.92,805.79
586,805.48,699.83,805.98
587,805.13,700.12,805.19
588,805.29,699.82,805.32
589,802.87,699.9,805.0
590,806.38,699.73,805.39
591,803.58,700.13,805.25
592,805.78,699.61,805.3
593,807.37,700.08,805.72
594,802.92,699.84,805.17
595,805.38,699.76,804.9
596,806.53,700.14,805.34
597,803.56,700.14,805.62
598,803.27,699.81,805.45
599,805.11,700.38,805.41
600,806.62,700.04,805.77
601,805.05,700.04,805.7
602,803.32,700.07,805.48
603,807.02,700.11,805.45
604,802.91,699.53,805.29
605,806.07,700.38,804.78
606,802.96,699.84,805.39
607,805.2,699.85,805.51
608,806.87,700.11,805.48
609,806.6,700.1,805.43
610,804.5,699.76,805.26
611,807.9,699.89,805.35
612,804.55,699.9,805.26
613,804.22,699.99,805.02
614,805.41,699.91,805.71
615,804.3,699.98,805.4
616,805.23,699.8,805.84
617,805.4,699.4,805.42
618,806.05,700.0,805.56
619,805.26,700.29,805.46
620,805.96,700.54,805.2
621,804.09,699.5,805.24
622,805.36,699.95,805.35
623,805.09,700.06,805.4
624,807.59,699.57,805.71
625,802.58,699.63,805.43
626,807.8,700.68,805.6
627,804.09,700.15,805.72
628,805.7,699.89,805.41
629,802.67,699.93,805.05
630,808.53,700.16,805.35
631,804.96,699.68,805.04
632,803.47,699.94,805.45
633,805.18,700.14,805.5
634,804.98,700.32,805.16
635,802.7,699.72,805.27
636,806.35,700.07,805.36
637,803.89,700.07,805.29
638,806.19,699.99,805.36
639,804.66,699.4,805.41
640,802.62,699.57,805.22
641,805.09,699.58,805.96
642,804.83,699.98,805.18
643,806.26,700.14,805.22
644,804.28,700.16,805.72
645,805.06,699.94,805.61
646,804.69,700.21,805.52
647,803.75,699.75,805.8
648,804.87,700.17,805.24
649,804.63,700.04,805.34
650,803.55,699.85,805.51
651,808.66,700.59,805.91
652,803.64,699.72,805.54
653,806.78,700.11,805.06
654,805.08,700.31,804.96
655,804.06,699.49,805.63
656,806.69,700.36,804.97
657,803.82,699.68,805.29
658,802.54,700.27,805.27
659,806.95,700.21,805.07
660,804.87,699.84,805.19
661,803.05,699.76,805.35
662,805.12,700.25,805.65
663,805.79,700.22,805.27
664,804.46,700.07,805.56
665,803.15,700.01,805.08
666,805.5,700.23,805.27
667,806.05,700.14,805.55
668,807.05,699.92,805.15
669,803.76,699.69,805.52
670,804.62,700.09,805.59
671,806.46,700.23,805.11
672,803.91,699.94,805.83
673,806.21,699.85,805.65
674,806.36,700.16,805.37
675,804.02,700.41,805.02
676,805.62,699.53,805.31
677,804.98,700.39,805.24
678,805.32,700.05,805.68
679,803.46,700.01,805.22
680,806.93,700.3,805.34
681,803.19,699.8,805.11
682,805.04,699.89,805.49
683,805.46,700.0,805.89
684,803.22,699.75,805.29
685,809.93,700.23,804.91
686,804.07,700.04,805.24
687,806.27,699.66,805.79
688,802.99,700.14,805.37
689,806.17,700.27,805.51
690,804.01,699.93,805.54
691,807.89,700.67,805.01
692,802.76,699.86,805.13
693,805.3,700.04,805.08
694,807.06,700.71,805.47
695,803.18,699.58,805.63
696,805.39,700.12,805.5
697,805.69,700.46,805.21
698,806.1,699.58,805.39
699,804.94,700.01,805.05
700,805.71,699.9,805.61
701,805.93,699.94,805.45
702,805.2,699.48,805.09
703,807.14,700.22,805.53
704,804.66,700.24,805.53
705,804.37,700.16,805.42
706,802.65,699.65,805.16
707,806.21,700.16,805.1
708,804.51,699.82,804.88
709,805.93,699.94,805.04
710,805.3,700.53,805.07
711,806.22,700.01,805.44
712,805.95,699.96,805.0
713,805.29,700.11,805.4
714,805.43,700.12,805.37
715,805.17,700.02,805.51
716,804.68,699.89,805.65
717,804.41,699.76,805.25
718,807.25,700.04,805.38
719,805.43,699.98,805.29
720,802.62,699.53,805.09
721,805.3,700.58,805.57
722,806.14,700.24,805.56
723,803.8,699.86,805.34
724,806.31,700.05,805.04
725,806.15,700.23,805.25
726,802.61,700.04,805.38
727,807.58,700.2,805.48
728,805.83,699.95,805.49
729,805.53,699.89,805.28
730,804.64,699.94,805.6
731,806.52,699.69,805.45
732,803.28,699.62,805.53
733,807.22,700.43,805.58
734,804.03,700.31,805.05
735,805.08,700.15,805.75
736,805.14,700.18,805.45
737,807.31,700.27,805.77
738,805.56,699.24,805.45
739,807.24,701.03,805.28
740,803.67,699.91,805.52
741,805.61,699.82,805.39
742,805.37,699.52,805.23
743,803.33,699.77,805.32
744,805.27,699.87,805.53
745,805.75,700.36,805.3
746,804.54,699.99,805.53
747,805.67,699.9,805.24
748,803.08,699.31,805.68
749,805.1,700.15,805.07
750,805.4,700.08,805.52
751,804.55,700.12,805.23
752,805.65,699.97,805.46
753,803.93,699.63,805.22
754,805.35,700.14,805.46
755,806.29,700.2,805.15
756,804.98,700.08,804.98
757,806.14,699.88,805.42
758,804.75,699.8,805.34
759,805.51,700.42,805.66
760,803.66,699.58,805.4
761,805.9,699.92,805.86
762,803.97,700.25,805.52
763,804.99,700.57,805.69
764,804.35,699.55,805.87
765,805.07,699.96,805.42
766,804.06,699.86,805.6
767,807.39,700.33,805.02
768,803.46,699.79,805.56
769,804.61,700.31,805.15
770,804.87,700.22,805.71
771,804.4,699.7,805.0
772,803.89,700.0,804.87
773,807.59,700.54,805.43
774,804.86,700.02,804.97
775,803.61,699.99,805.31
776,804.9,700.0,804.9
777,805.24,700.05,805.14
778,805.11,700.32,805.18
779,805.45,699.68,805.13
780,804.54,699.82,805.41
781,807.44,699.99,805.44
782,806.13,700.06,804.53
783,804.93,700.07,805.28
784,802.73,700.07,805.38
785,804.23,699.85,805.45
786,804.78,700.62,805.59
787,805.7,699.71,805.47
788,805.63,699.73,805.79
789,805.68,699.66,805.57
790,805.98,699.75,805.39
791,807.74,699.86,805.44
792,806.11,699.89,805.65
793,803.78,699.9,805.52
794,805.15,699.78,804.96
795,803.36,699.76,805.14
796,806.23,700.06,805.31
797,803.9,699.83,805.15
798,691.13,699.99,661.99
799,805.05,699.99,805.38
800,805.05,699.99,805.38
801,805.05,699.99,805.38
802,805.05,699.99,805.38
803,805.05,699.99,805.38
804,805.05,699.99,805.38
805,805.05,699.99,805.38
806,805.05,699.99,805.38
807,805.05,699.99,805.38
808,805.05,699.99,805.38
809,805.05,699.99,805.38
810,805.05,699.99,805.38
811,805.05,699.99,805.38
812,805.05,699.99,805.38
813,805.05,699.99,805.38
814,805.05,699.99,805.38
815,805.05,699.99,805.38
816,805.05,699.99,805.38
817,805.05,699.99,805.38
818,805.05,699.99,805.38
819,805.05,699.99,805.38
820,805.05,699.99,805.38
821,805.05,699.99,805.38
822,805.05,699.99,805.38
823,805.05,699.99,805.38
824,805.05,699.99,805.38
825,805.05,699.99,805.38
826,805.05,699.99,805.38
827,805.05,699.99,805.38
828,805.05,699.99,805.38
829,805.05,699.99,805.38
830,805.05,699.99,805.38
831,805.05,699.99,805.38
832,805.05,699.99,805.38
833,805.05,699.99,805.38
834,805.05,699.99,805.38
835,805.05,699.99,805.38
836,805.05,699.99,805.38
837,805.05,699.99,805.38
838,805.05,699.99,805.38
839,805.05,699.99,805.38
840,805.05,699.99,805.38
841,805.05,699.99,805.38
842,805.05,699.99,805.38
843,805.05,699.99,805.38
